"_id","TYPE","FILE_NAME","UPDATE_TIME","TAGS"
"6655dbeb975efe3ad8c78855","md","waiton","2024-05-28T13:28:11.595Z","[""not useful"",""stupid shit""]"
"7655dbeb975efe3ad8c78856","txt","summary","2024-06-01T09:15:22.123Z","[""important"",""work""]"
"8655dbeb975efe3ad8c78857","md","project_notes","2024-06-02T14:45:10.345Z","[""project"",""work"",""urgent""]"
"9655dbeb975efe3ad8c78858","pdf","specifications","2024-06-03T12:00:33.678Z","[""technical"",""reference""]"
"a655dbeb975efe3ad8c78859","docx","meeting_minutes","2024-06-04T08:30:11.789Z","[""meeting"",""discussion""]"
"b655dbeb975efe3ad8c78860","md","brainstorm","2024-06-05T10:50:27.890Z","[""ideas"",""creative"",""concepts""]"
"c655dbeb975efe3ad8c78861","txt","todo","2024-06-06T15:40:18.901Z","[""tasks"",""priority"",""urgent""]"
"d655dbeb975efe3ad8c78862","md","research","2024-06-07T11:25:32.012Z","[""study"",""important"",""reference""]"
"e655dbeb975efe3ad8c78863","pdf","manual","2024-06-08T13:00:45.123Z","[""reference"",""guide""]"
"f655dbeb975efe3ad8c78864","docx","draft","2024-06-09T17:20:59.234Z","[""review"",""editing""]"
"0655dbeb975efe3ad8c78865","md","thoughts","2024-06-10T12:35:47.345Z","[""personal"",""reflection""]"
"1655dbeb975efe3ad8c78866","txt","reminder","2024-06-11T09:50:21.456Z","[""urgent"",""follow-up""]"
"2655dbeb975efe3ad8c78867","pdf","overview","2024-06-12T10:10:33.567Z","[""summary""]"
"3655dbeb975efe3ad8c78868","md","logs","2024-06-13T13:40:14.678Z","[""tracking"",""system"",""log""]"
"4655dbeb975efe3ad8c78869","docx","final_report","2024-06-14T15:30:45.789Z","[""final"",""report"",""project""]"
"5655dbeb975efe3ad8c78870","txt","quick_notes","2024-06-15T08:55:22.890Z","[]"
